feature,lags
com_count,10
sub_count,9
com_body_pos_count,9
com_body_very_pos_count,8
com_body_neg_count,10
com_body_very_neg_count,10
sub_body_pos_count,9
sub_body_very_pos_count,8
sub_body_neg_count,9
sub_body_very_neg_count,10
sub_title_pos_count,8
sub_title_very_pos_count,10
sub_title_neg_count,10
sub_title_very_neg_count,10
sub_title_non_zero_pr,5
sub_title_top_50_pr,2
sub_title_top_75_pr,2
sub_title_pr_4_bins,9
sub_title_pr_normalized,1
sub_title_pr_norm_plus_base,9
sub_title_pos_non_zero_pr,6
sub_title_pos_top_50_pr,7
sub_title_pos_top_75_pr,2
sub_title_pos_pr_4_bins,9
sub_title_pos_pr_normalized,1
sub_title_pos_pr_norm_plus_base,4
sub_title_very_pos_non_zero_pr,6
sub_title_very_pos_top_50_pr,6
sub_title_very_pos_top_75_pr,2
sub_title_very_pos_pr_4_bins,9
sub_title_very_pos_pr_normalized,7
sub_title_very_pos_pr_norm_plus_base,7
sub_title_neg_non_zero_pr,10
sub_title_neg_top_50_pr,10
sub_title_neg_top_75_pr,1
sub_title_neg_pr_4_bins,9
sub_title_neg_pr_normalized,5
sub_title_neg_pr_norm_plus_base,9
sub_title_very_neg_non_zero_pr,10
sub_title_very_neg_top_50_pr,7
sub_title_very_neg_top_75_pr,1
sub_title_very_neg_pr_4_bins,10
sub_title_very_neg_pr_normalized,7
sub_title_very_neg_pr_norm_plus_base,10
sub_title_very_pos_minus_very_neg_non_zero_pr,9
sub_title_pos_minus_neg_non_zero_pr,7
sub_title_pos_non_zero_pr_percent,2
sub_title_very_pos_non_zero_pr_percent,7
sub_title_neg_non_zero_pr_percent,2
sub_title_very_neg_non_zero_pr_percent,1
sub_body_non_zero_pr,5
sub_body_top_50_pr,2
sub_body_top_75_pr,2
sub_body_pr_4_bins,9
sub_body_pr_normalized,1
sub_body_pr_norm_plus_base,9
sub_body_pos_non_zero_pr,5
sub_body_pos_top_50_pr,3
sub_body_pos_top_75_pr,4
sub_body_pos_pr_4_bins,8
sub_body_pos_pr_normalized,1
sub_body_pos_pr_norm_plus_base,8
sub_body_very_pos_non_zero_pr,8
sub_body_very_pos_top_50_pr,2
sub_body_very_pos_top_75_pr,1
sub_body_very_pos_pr_4_bins,8
sub_body_very_pos_pr_normalized,1
sub_body_very_pos_pr_norm_plus_base,8
sub_body_neg_non_zero_pr,9
sub_body_neg_top_50_pr,4
sub_body_neg_top_75_pr,1
sub_body_neg_pr_4_bins,9
sub_body_neg_pr_normalized,4
sub_body_neg_pr_norm_plus_base,9
sub_body_very_neg_non_zero_pr,9
sub_body_very_neg_top_50_pr,1
sub_body_very_neg_top_75_pr,2
sub_body_very_neg_pr_4_bins,10
sub_body_very_neg_pr_normalized,1
sub_body_very_neg_pr_norm_plus_base,9
sub_body_very_pos_minus_very_neg_non_zero_pr,10
sub_body_pos_minus_neg_non_zero_pr,10
sub_body_pos_non_zero_pr_percent,2
sub_body_very_pos_non_zero_pr_percent,3
sub_body_neg_non_zero_pr_percent,1
sub_body_very_neg_non_zero_pr_percent,1
com_body_non_zero_pr,4
com_body_top_50_pr,1
com_body_top_75_pr,6
com_body_pr_4_bins,9
com_body_pr_normalized,4
com_body_pr_norm_plus_base,9
com_body_pos_non_zero_pr,5
com_body_pos_top_50_pr,3
com_body_pos_top_75_pr,7
com_body_pos_pr_4_bins,9
com_body_pos_pr_normalized,5
com_body_pos_pr_norm_plus_base,8
com_body_very_pos_non_zero_pr,5
com_body_very_pos_top_50_pr,3
com_body_very_pos_top_75_pr,10
com_body_very_pos_pr_4_bins,8
com_body_very_pos_pr_normalized,1
com_body_very_pos_pr_norm_plus_base,8
com_body_neg_non_zero_pr,10
com_body_neg_top_50_pr,1
com_body_neg_top_75_pr,4
com_body_neg_pr_4_bins,10
com_body_neg_pr_normalized,1
com_body_neg_pr_norm_plus_base,10
com_body_very_neg_non_zero_pr,2
com_body_very_neg_top_50_pr,6
com_body_very_neg_top_75_pr,10
com_body_very_neg_pr_4_bins,10
com_body_very_neg_pr_normalized,1
com_body_very_neg_pr_norm_plus_base,10
com_body_very_pos_minus_very_neg_non_zero_pr,10
com_body_pos_minus_neg_non_zero_pr,9
com_body_pos_non_zero_pr_percent,9
com_body_very_pos_non_zero_pr_percent,9
com_body_neg_non_zero_pr_percent,5
com_body_very_neg_non_zero_pr_percent,4
avg_clust_coef,2
avg_degree,7
num_edges,9
num_nodes,9
com_body_pos_percent,2
com_body_very_pos_percent,9
com_body_neg_percent,5
com_body_very_neg_percent,4
sub_body_pos_percent,2
sub_body_very_pos_percent,2
sub_body_neg_percent,3
sub_body_very_neg_percent,2
sub_title_pos_percent,2
sub_title_very_pos_percent,1
sub_title_neg_percent,1
sub_title_very_neg_percent,10